"Tabela 10295 - Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a), valor do rendimento domiciliar mensal per capita, médio e mediano, por sexo, cor ou raça e grupos de idade"
"Variável - Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) (Reais)"
"Nível";"Cód.";"Município";"Grupo de idade";"Ano x Sexo x Cor ou raça"
"Nível";"Cód.";"Município";"Grupo de idade";"2022"
"Nível";"Cód.";"Município";"Grupo de idade";"Total"
"Nível";"Cód.";"Município";"Grupo de idade";"Total"
"MU";"1505064";"Novo Repartimento (PA)";"Total";"721,31"
"MU";"1505106";"Óbidos (PA)";"Total";"652,59"
"MU";"1505205";"Oeiras do Pará (PA)";"Total";"460,54"
"MU";"1505304";"Oriximiná (PA)";"Total";"727,72"
"MU";"1505403";"Ourém (PA)";"Total";"694,89"
"MU";"1505437";"Ourilândia do Norte (PA)";"Total";"935,72"
"MU";"1505486";"Pacajá (PA)";"Total";"689,59"
"MU";"1505494";"Palestina do Pará (PA)";"Total";"856,12"
"MU";"1505502";"Paragominas (PA)";"Total";"992,06"
"MU";"1505536";"Parauapebas (PA)";"Total";"1321,92"
"MU";"1505551";"Pau D'Arco (PA)";"Total";"882,09"
"MU";"1505601";"Peixe-Boi (PA)";"Total";"756,62"
"MU";"1505635";"Piçarra (PA)";"Total";"864,32"
"MU";"1505650";"Placas (PA)";"Total";"793,04"
"MU";"1505700";"Ponta de Pedras (PA)";"Total";"574,17"
"MU";"1505809";"Portel (PA)";"Total";"508,31"
"MU";"1505908";"Porto de Moz (PA)";"Total";"484,97"
"MU";"1506005";"Prainha (PA)";"Total";"451,71"
"MU";"1506104";"Primavera (PA)";"Total";"716,90"
"MU";"1506112";"Quatipuru (PA)";"Total";"649,32"
"MU";"1506138";"Redenção (PA)";"Total";"1295,20"
"MU";"1506161";"Rio Maria (PA)";"Total";"1039,00"
"MU";"1506187";"Rondon do Pará (PA)";"Total";"946,14"
"MU";"1506195";"Rurópolis (PA)";"Total";"731,95"
"MU";"1506203";"Salinópolis (PA)";"Total";"875,11"
"MU";"1506302";"Salvaterra (PA)";"Total";"723,40"
"MU";"1506351";"Santa Bárbara do Pará (PA)";"Total";"762,45"
"MU";"1506401";"Santa Cruz do Arari (PA)";"Total";"520,36"
"MU";"1506500";"Santa Izabel do Pará (PA)";"Total";"914,02"
"MU";"1506559";"Santa Luzia do Pará (PA)";"Total";"685,08"
"MU";"1506583";"Santa Maria das Barreiras (PA)";"Total";"1175,42"
"MU";"1506609";"Santa Maria do Pará (PA)";"Total";"793,59"
"MU";"1506708";"Santana do Araguaia (PA)";"Total";"1137,95"
"MU";"1506807";"Santarém (PA)";"Total";"1024,30"
"MU";"1506906";"Santarém Novo (PA)";"Total";"743,73"
"MU";"1507003";"Santo Antônio do Tauá (PA)";"Total";"697,67"
"MU";"1507102";"São Caetano de Odivelas (PA)";"Total";"611,22"
"MU";"1507151";"São Domingos do Araguaia (PA)";"Total";"922,63"
"MU";"1507201";"São Domingos do Capim (PA)";"Total";"520,37"
"MU";"1507300";"São Félix do Xingu (PA)";"Total";"980,71"
"MU";"1507409";"São Francisco do Pará (PA)";"Total";"681,98"
"MU";"1507458";"São Geraldo do Araguaia (PA)";"Total";"852,58"
"MU";"1507466";"São João da Ponta (PA)";"Total";"566,06"
"MU";"1507474";"São João de Pirabas (PA)";"Total";"624,11"
"MU";"1507508";"São João do Araguaia (PA)";"Total";"684,94"
"MU";"1507607";"São Miguel do Guamá (PA)";"Total";"739,47"
"MU";"1507706";"São Sebastião da Boa Vista (PA)";"Total";"541,45"
"MU";"1507755";"Sapucaia (PA)";"Total";"780,97"
"MU";"1507805";"Senador José Porfírio (PA)";"Total";"627,70"
"MU";"1507904";"Soure (PA)";"Total";"728,05"
"MU";"1507953";"Tailândia (PA)";"Total";"829,70"
"MU";"1507961";"Terra Alta (PA)";"Total";"729,04"
"MU";"1507979";"Terra Santa (PA)";"Total";"692,20"
"MU";"1508001";"Tomé-Açu (PA)";"Total";"710,04"
"MU";"1508035";"Tracuateua (PA)";"Total";"536,71"
"MU";"1508050";"Trairão (PA)";"Total";"964,72"
"MU";"1508084";"Tucumã (PA)";"Total";"1120,97"
"MU";"1508100";"Tucuruí (PA)";"Total";"1124,55"
"MU";"1508126";"Ulianópolis (PA)";"Total";"718,62"
"MU";"1508159";"Uruará (PA)";"Total";"840,09"
"MU";"1508209";"Vigia (PA)";"Total";"699,55"
"MU";"1508308";"Viseu (PA)";"Total";"515,80"
"MU";"1508357";"Vitória do Xingu (PA)";"Total";"838,42"
"MU";"1508407";"Xinguara (PA)";"Total";"1187,19"
"MU";"1600055";"Serra do Navio (AP)";"Total";"1096,98"
"MU";"1600105";"Amapá (AP)";"Total";"841,51"
"MU";"1600154";"Pedra Branca do Amapari (AP)";"Total";"885,60"
"MU";"1600204";"Calçoene (AP)";"Total";"827,69"
"MU";"1600212";"Cutias (AP)";"Total";"642,81"
"MU";"1600238";"Ferreira Gomes (AP)";"Total";"758,60"
"MU";"1600253";"Itaubal (AP)";"Total";"628,24"
"MU";"1600279";"Laranjal do Jari (AP)";"Total";"867,35"
"MU";"1600303";"Macapá (AP)";"Total";"1313,17"
"MU";"1600402";"Mazagão (AP)";"Total";"650,57"
"MU";"1600501";"Oiapoque (AP)";"Total";"846,41"
"MU";"1600535";"Porto Grande (AP)";"Total";"889,05"
"MU";"1600550";"Pracuúba (AP)";"Total";"639,24"
"MU";"1600600";"Santana (AP)";"Total";"1029,14"
"MU";"1600709";"Tartarugalzinho (AP)";"Total";"669,00"
"MU";"1600808";"Vitória do Jari (AP)";"Total";"656,35"
"MU";"1700251";"Abreulândia (TO)";"Total";"1103,87"
"MU";"1700301";"Aguiarnópolis (TO)";"Total";"969,45"
"MU";"1700350";"Aliança do Tocantins (TO)";"Total";"962,77"
"MU";"1700400";"Almas (TO)";"Total";"901,21"
"MU";"1700707";"Alvorada (TO)";"Total";"1420,73"
"MU";"1701002";"Ananás (TO)";"Total";"905,85"
"MU";"1701051";"Angico (TO)";"Total";"864,48"
"MU";"1701101";"Aparecida do Rio Negro (TO)";"Total";"1086,79"
"MU";"1701309";"Aragominas (TO)";"Total";"948,87"
"MU";"1701903";"Araguacema (TO)";"Total";"1126,54"
"MU";"1702000";"Araguaçu (TO)";"Total";"1309,80"
"MU";"1702109";"Araguaína (TO)";"Total";"1450,20"
"MU";"1702158";"Araguanã (TO)";"Total";"882,97"
"MU";"1702208";"Araguatins (TO)";"Total";"968,04"
"MU";"1702307";"Arapoema (TO)";"Total";"1063,76"
"MU";"1702406";"Arraias (TO)";"Total";"1165,13"
"MU";"1702554";"Augustinópolis (TO)";"Total";"995,19"
"MU";"1702703";"Aurora do Tocantins (TO)";"Total";"988,14"
"MU";"1702901";"Axixá do Tocantins (TO)";"Total";"729,12"
"MU";"1703008";"Babaçulândia (TO)";"Total";"877,11"
"MU";"1703057";"Bandeirantes do Tocantins (TO)";"Total";"1113,71"
"MU";"1703073";"Barra do Ouro (TO)";"Total";"750,89"
"MU";"1703107";"Barrolândia (TO)";"Total";"1073,11"
"MU";"1703206";"Bernardo Sayão (TO)";"Total";"1113,41"
"MU";"1703305";"Bom Jesus do Tocantins (TO)";"Total";"1047,77"
"MU";"1703602";"Brasilândia do Tocantins (TO)";"Total";"945,34"
"MU";"1703701";"Brejinho de Nazaré (TO)";"Total";"889,67"
"MU";"1703800";"Buriti do Tocantins (TO)";"Total";"665,20"
"MU";"1703826";"Cachoeirinha (TO)";"Total";"763,82"
"MU";"1703842";"Campos Lindos (TO)";"Total";"912,29"
"MU";"1703867";"Cariri do Tocantins (TO)";"Total";"1174,15"
"MU";"1703883";"Carmolândia (TO)";"Total";"982,10"
"MU";"1703891";"Carrasco Bonito (TO)";"Total";"590,10"
"MU";"1703909";"Caseara (TO)";"Total";"1047,86"
"MU";"1704105";"Centenário (TO)";"Total";"860,47"
"MU";"1704600";"Chapada de Areia (TO)";"Total";"927,68"
"MU";"1705102";"Chapada da Natividade (TO)";"Total";"809,82"
"MU";"1705508";"Colinas do Tocantins (TO)";"Total";"1378,65"
"MU";"1705557";"Combinado (TO)";"Total";"1156,96"
"MU";"1705607";"Conceição do Tocantins (TO)";"Total";"966,54"
"MU";"1706001";"Couto Magalhães (TO)";"Total";"878,40"
"MU";"1706100";"Cristalândia (TO)";"Total";"1299,17"
"MU";"1706258";"Crixás do Tocantins (TO)";"Total";"1034,63"
"MU";"1706506";"Darcinópolis (TO)";"Total";"865,80"
